Assists,AthleteID,Athlete_Name,Away,ClubID,Difficult_Saves,Fouls_Conceded,Fouls_Received,Game_Without_Being_Scored,Goals,Goals_Conceded,Missed_Passes,Missed_Penalty,Offsides,Opponent_Team,Own_Goals,Participated,Penalty_Saves,Points,Points_avg,PositionID,Price,Price_Variation,Red_Card,Round,Season,Shot_Missed,Shot_Saved,Shot_on_Post,Stolen_Balls,Team,Yellow_Card,opponentID,avg_Assists,avg_Difficult_Saves,avg_Fouls_Conceded,avg_Fouls_Received,avg_Game_Without_Being_Scored,avg_Goals,avg_Goals_Conceded,avg_Missed_Passes,avg_Missed_Penalty,avg_Offsides,avg_Own_Goals,avg_Penalty_Saves,avg_Points,avg_Price,avg_Red_Card,avg_Shot_Missed,avg_Shot_Saved,avg_Shot_on_Post,avg_Stolen_Balls,avg_Yellow_Card
0.0,77556,Bruno,1,264.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Cruzeiro,0.0,True,0.0,-4.0,-4.0,1,0.79,-2.21,0.0,1,2015,0.0,0.0,0.0,0.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,91575,Mateus Oliveira,1,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzeiro,0.0,True,0.0,0.0,0.0,5,2.37,-0.63,0.0,1,2015,0.0,0.0,0.0,0.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,71844,Thiago Galhardo,1,264.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Cruzeiro,0.0,True,0.0,-0.8,-0.8,4,4.11,-1.89,0.0,1,2015,0.0,0.0,0.0,0.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,82503,Rodolfo,1,264.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Cruzeiro,0.0,True,0.0,0.2,0.2,4,4.11,-0.89,0.0,1,2015,0.0,0.0,0.0,0.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,70944,Bruno Henrique,1,264.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,Cruzeiro,0.0,True,0.0,-1.4,-1.4,4,4.43,-2.57,0.0,1,2015,0.0,0.0,0.0,0.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,81031,Marquinhos Santos,1,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzeiro,0.0,True,0.0,1.27,1.27,6,4.96,-0.04,0.0,1,2015,0.0,0.0,0.0,0.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,56102,João Paulo,1,264.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,Cruzeiro,0.0,True,0.0,0.8,0.8,4,5.38,-0.62,0.0,1,2015,0.0,0.0,0.0,2.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,63005,Welinton,1,264.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,Cruzeiro,0.0,True,0.0,2.0,2.0,3,5.54,0.54,0.0,1,2015,1.0,0.0,0.0,1.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,90031,Mendoza,1,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzeiro,0.0,True,0.0,0.0,0.0,5,5.54,-1.46,0.0,1,2015,0.0,0.0,0.0,0.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,70929,Negueba,1,264.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,Cruzeiro,0.0,True,0.0,-0.2,-0.2,5,6.17,-1.83,0.0,1,2015,2.0,1.0,0.0,0.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,77500,Yago,1,264.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Cruzeiro,0.0,True,0.0,4.0,4.0,3,6.33,2.33,0.0,1,2015,0.0,0.0,0.0,0.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,80374,Norberto ,1,264.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,Cruzeiro,0.0,True,0.0,0.1,0.1,4,6.41,-1.59,0.0,1,2015,0.0,0.0,0.0,0.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,63194,Carlinhos,1,264.0,0.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,Cruzeiro,0.0,True,0.0,1.0,1.0,2,7.12,-0.88,0.0,1,2015,1.0,0.0,0.0,1.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,73465,Luccas Claro,1,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzeiro,0.0,True,0.0,0.0,0.0,3,7.12,-1.88,0.0,1,2015,0.0,0.0,0.0,0.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,88056,Malcom,1,264.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,Cruzeiro,0.0,True,0.0,1.1,1.1,5,7.2,-0.8,0.0,1,2015,0.0,0.0,0.0,0.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,51681,Hélder,1,264.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,Cruzeiro,0.0,True,0.0,3.1,3.1,4,7.99,0.99,0.0,1,2015,0.0,1.0,1.0,1.0,Corinthians,1.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,37657,Edu Dracena,1,264.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Cruzeiro,0.0,True,0.0,5.2,5.2,3,8.86,2.86,0.0,1,2015,0.0,0.0,0.0,0.0,Corinthians,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,50462,Leandro Almeida,1,264.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Cruzeiro,0.0,True,0.0,-2.1,-2.1,3,9.41,-4.59,0.0,1,2015,0.0,1.0,0.0,1.0,Corinthians,1.0,283.0,,,,,,,,,,,,,,,,,,,,
