Assists,AthleteID,Athlete_Name,Away,ClubID,Difficult_Saves,Fouls_Conceded,Fouls_Received,Game_Without_Being_Scored,Goals,Goals_Conceded,Missed_Passes,Missed_Penalty,Offsides,Opponent_Team,Own_Goals,Participated,Penalty_Saves,Points,Points_avg,PositionID,Price,Price_Variation,Red_Card,Round,Season,Shot_Missed,Shot_Saved,Shot_on_Post,Stolen_Balls,Team,Yellow_Card,opponentID,avg_Assists,avg_Difficult_Saves,avg_Fouls_Conceded,avg_Fouls_Received,avg_Game_Without_Being_Scored,avg_Goals,avg_Goals_Conceded,avg_Missed_Passes,avg_Missed_Penalty,avg_Offsides,avg_Own_Goals,avg_Penalty_Saves,avg_Points,avg_Price,avg_Red_Card,avg_Shot_Missed,avg_Shot_Saved,avg_Shot_on_Post,avg_Stolen_Balls,avg_Yellow_Card
0.0,37623,Rafael Marques,0,294.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,Cruzeiro,0.0,True,0.0,5.3,5.3,3,6.84,2.84,0.0,1,2016,0.0,0.0,0.0,1.0,Coritiba,0.0,283.0,,,,,,,,,,,,,,,,,,,,
0.0,37623,Rafael Marques,1,294.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Santos,0.0,True,0.0,-0.5,2.4,3,6.67,-0.17,0.0,2,2016,0.0,0.0,0.0,0.0,Coritiba,0.0,277.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.3,6.84,0.0,0.0,0.0,0.0,1.0,0.0
0.0,37623,Rafael Marques,0,294.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,São Paulo,0.0,True,0.0,2.3,2.37,3,6.98,0.31,0.0,3,2016,0.0,0.0,0.0,2.0,Coritiba,0.0,276.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,2.4,6.755,0.0,0.0,0.0,0.0,0.5,0.0
0.0,37623,Rafael Marques,1,294.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Grêmio,0.0,True,0.0,-2.7,1.1,3,5.5,-1.48,0.0,4,2016,0.0,0.0,0.0,1.0,Coritiba,1.0,284.0,0.0,0.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,2.3666666666666667,6.830000000000001,0.0,0.0,0.0,0.0,1.0,0.0
0.0,37623,Rafael Marques,0,294.0,0.0,2.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,Chapecoense,0.0,True,0.0,8.2,2.52,3,7.84,2.34,0.0,5,2016,0.0,0.0,0.0,2.0,Coritiba,1.0,315.0,0.0,0.0,2.0,0.3333333333333333,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,-0.3000000000000001,6.383333333333333,0.0,0.0,0.0,0.0,1.0,0.3333333333333333
0.0,37623,Rafael Marques,1,294.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,Corinthians,0.0,True,0.0,0.3,2.15,3,6.55,-1.29,0.0,6,2016,0.0,0.0,0.0,2.0,Coritiba,1.0,264.0,0.0,0.0,2.3333333333333335,1.0,0.0,0.3333333333333333,0.0,3.0,0.0,0.0,0.0,0.0,2.5999999999999996,6.773333333333333,0.0,0.0,0.0,0.0,1.6666666666666667,0.6666666666666666
0.0,37623,Rafael Marques,0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Palmeiras,0.0,True,0.0,1.1,2.0,3,6.5,-0.05,0.0,8,2016,0.0,0.0,0.0,1.0,Coritiba,0.0,275.0,0.0,0.0,2.0,1.5,0.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,4.25,7.195,0.0,0.0,0.0,0.0,2.0,1.0
0.0,37623,Rafael Marques,1,294.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,América-MG,0.0,True,0.0,4.4,2.3,3,7.2,0.7,0.0,9,2016,0.0,0.0,0.0,3.0,Coritiba,0.0,327.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.7000000000000001,6.525,0.0,0.0,0.0,0.0,1.5,0.5
0.0,37837,Cristian,0,303.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Palmeiras,0.0,True,0.0,2.5,2.5,4,5.78,-0.22,0.0,2,2016,0.0,0.0,1.0,0.0,Ponte Preta,0.0,275.0,,,,,,,,,,,,,,,,,,,,
0.0,37837,Cristian,1,303.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Corinthians,0.0,True,0.0,-0.1,1.2,4,4.99,-0.79,0.0,3,2016,0.0,0.0,0.0,1.0,Ponte Preta,1.0,264.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.78,0.0,0.0,0.0,1.0,0.0,0.0
